position,player,salary,points,value
SP,Clayton Kershaw,13900,31.15,2.241007194244604
SP,Chris Sale,13800,29.839,2.162246376811594
SP,Jake Arrieta,12600,28.817,2.287063492063492
SP,Noah Syndergaard,12800,27.306,2.13328125
SP,Stephen Strasburg,13400,26.339,1.9655970149253732
SP,Drew Pomeranz,8000,22.763,2.845375
SP,Junior Guerra,4300,19.663,4.572790697674419
SP,Drew Hutchison,6500,18.55,2.853846153846154
OF,Cameron Maybin,3200,14.833,4.6353125
SP,Nick Tropeano,5300,14.781,2.7888679245283017
2B,Jose Altuve,4600,11.867,2.5797826086956523
OF,Robbie Grossman,2000,11.667,5.8335
SP,Eddie Butler,4000,11.65,2.9125
1B,David Ortiz,4400,10.825,2.460227272727273
OF,Mookie Betts,5400,10.795,1.999074074074074
SS,Trevor Story,4300,10.585,2.4616279069767444
OF,Yoenis Cespedes,3900,10.513,2.6956410256410255
3B,Nolan Arenado,4300,10.452,2.430697674418605
OF,Bryce Harper,5100,10.279,2.0154901960784315
OF,Mike Trout,5500,10.25,1.8636363636363635
OF,Dexter Fowler,4500,10.122,2.2493333333333334
3B/SS,Manny Machado,4300,10.119,2.3532558139534885
3B/SS,Manny Machado,4300,10.119,2.3532558139534885
2B,Ian Kinsler,4800,10.047,2.093125
OF,Rusney Castillo,3500,10.0,2.857142857142857
1B,Anthony Rizzo,4500,9.929,2.2064444444444447
3B,Jung Ho Kang,3800,9.917,2.609736842105263
2B,Robinson Cano,4900,9.884,2.0171428571428573
SS,Xander Bogaerts,5200,9.884,1.9007692307692308
2B,Ben Zobrist,4400,9.725,2.210227272727273
OF,Jackie Bradley Jr.,4000,9.581,2.39525
OF,Ryan Braun,3900,9.541,2.4464102564102563
3B/OF,Kris Bryant,4700,9.512,2.0238297872340425
3B/OF,Kris Bryant,4700,9.512,2.0238297872340425
OF,Gregory Polanco,4800,9.429,1.964375
3B,Josh Donaldson,4400,9.378,2.1313636363636363
2B,Daniel Murphy,4400,9.349,2.1247727272727275
OF,Stephen Piscotty,4100,9.326,2.274634146341463
OF,Mark Trumbo,4000,9.31,2.3275
3B,Matt Carpenter,4600,9.273,2.0158695652173915
2B,Jean Segura,3900,9.186,2.355384615384615
2B,Rob Refsnyder,2800,9.0,3.2142857142857144
3B,Todd Frazier,4000,9.0,2.25
1B,Paul Goldschmidt,4400,8.933,2.0302272727272728
3B,Travis Shaw,4300,8.932,2.0772093023255813
SS,Francisco Lindor,2800,8.902,3.1792857142857143
3B,Nick Castellanos,3400,8.829,2.596764705882353
1B,Chris Carter,3400,8.762,2.577058823529412
2B,Logan Forsythe,3500,8.724,2.4925714285714284
1B,Miguel Cabrera,4500,8.721,1.938
2B,Dustin Pedroia,4400,8.667,1.9697727272727272
SS,Aledmys Diaz,3300,8.634,2.6163636363636362
1B,Chris Davis,4300,8.619,2.0044186046511627
1B/2B,Steve Pearce,3900,8.571,2.1976923076923076
